frame,edge_density,f_v,w_v,d_u_m,P_u,yolo_has_det,yolo_conf,yolo_dist_m,yolo_is_obst,rf_prob_obstacle,Decision
0,0.022,0.000,0.044,2.573,0.014,1,0.612,2.429,0,0.000,FREE
1,0.056,0.000,0.113,1.524,0.079,0,0.000,,0,1.000,OBSTACLE
2,0.093,0.000,0.185,1.325,0.110,0,0.000,,0,0.990,OBSTACLE
3,0.123,0.000,0.247,2.629,0.013,1,0.523,2.593,0,0.000,FREE
4,0.044,0.000,0.088,3.951,0.001,0,0.000,,0,0.000,FREE
5,0.085,0.000,0.170,1.957,0.038,0,0.000,,0,0.000,FREE
6,0.034,0.000,0.069,4.013,0.001,0,0.000,,0,0.000,FREE
7,0.010,0.000,0.020,3.830,0.002,0,0.000,,0,0.000,FREE
8,0.048,0.000,0.096,2.048,0.033,1,0.614,1.834,0,0.000,FREE
9,0.082,0.000,0.163,2.915,0.008,0,0.000,,0,0.000,FREE
10,0.029,0.000,0.057,1.330,0.109,1,0.805,1.237,0,1.000,OBSTACLE
11,0.024,0.000,0.047,2.136,0.028,1,0.686,2.148,0,0.000,FREE
12,0.056,0.000,0.112,2.630,0.012,1,0.871,2.559,0,0.000,FREE
13,0.033,0.000,0.066,1.572,0.073,0,0.000,,0,1.000,OBSTACLE
14,0.021,0.000,0.043,1.693,0.060,0,0.000,,0,1.000,OBSTACLE
15,0.075,0.000,0.151,2.122,0.029,0,0.000,,0,0.000,FREE
16,0.038,0.000,0.075,2.278,0.022,1,0.573,2.155,0,0.000,FREE
17,0.045,0.000,0.090,2.636,0.012,1,0.603,2.342,0,0.000,FREE
18,0.045,0.000,0.091,2.104,0.030,1,0.691,2.381,0,0.000,FREE
19,0.062,0.000,0.123,1.289,0.117,0,0.000,,0,1.000,OBSTACLE
20,0.110,0.000,0.220,1.453,0.089,1,0.702,1.222,0,1.000,OBSTACLE
21,0.147,0.000,0.294,2.747,0.010,1,0.889,2.235,0,0.000,FREE
22,0.114,0.000,0.228,2.002,0.036,1,0.718,1.980,0,0.000,FREE
23,0.072,0.000,0.144,1.944,0.039,0,0.000,,0,0.000,FREE
24,0.042,0.000,0.083,2.243,0.024,1,0.397,2.231,0,0.000,FREE
25,0.062,0.000,0.123,0.800,0.264,1,0.891,0.893,0,1.000,OBSTACLE
26,0.061,0.000,0.123,1.510,0.081,1,0.633,1.510,0,1.000,OBSTACLE
27,0.085,0.000,0.169,1.278,0.119,1,0.904,1.210,0,1.000,OBSTACLE
28,0.051,0.000,0.103,1.797,0.050,0,0.000,,0,1.000,OBSTACLE
29,0.024,0.000,0.048,2.029,0.034,0,0.000,,0,0.000,FREE
30,0.061,0.000,0.122,1.261,0.122,0,0.000,,0,1.000,OBSTACLE
31,0.046,0.000,0.091,1.802,0.050,1,0.356,1.893,0,0.010,FREE
32,0.034,0.000,0.069,1.563,0.074,0,0.000,,0,1.000,OBSTACLE
33,0.047,0.000,0.095,1.879,0.044,0,0.000,,0,0.000,FREE
34,0.063,0.000,0.127,1.541,0.077,1,0.778,1.523,0,1.000,OBSTACLE
35,0.033,0.000,0.067,2.393,0.019,0,0.000,,0,0.000,FREE
36,0.057,0.000,0.114,1.577,0.072,1,0.887,1.301,0,1.000,OBSTACLE
37,0.041,0.000,0.083,1.736,0.055,1,0.860,1.314,0,1.000,OBSTACLE
38,0.082,0.000,0.165,3.208,0.005,0,0.000,,0,0.000,FREE
39,0.147,0.000,0.293,3.218,0.005,0,0.000,,0,0.000,FREE
40,0.124,0.000,0.248,2.554,0.014,0,0.000,,0,0.000,FREE
41,0.083,0.000,0.166,2.322,0.021,0,0.000,,0,0.000,FREE
42,0.128,0.000,0.256,1.097,0.161,0,0.000,,0,1.000,OBSTACLE
43,0.059,0.000,0.118,2.641,0.012,0,0.000,,0,0.000,FREE
44,0.105,0.000,0.211,2.586,0.013,0,0.000,,0,0.000,FREE
45,0.089,0.000,0.178,2.412,0.018,1,0.745,2.344,0,0.000,FREE
46,0.061,0.000,0.122,2.697,0.011,1,0.892,2.586,0,0.000,FREE
47,0.060,0.000,0.119,1.636,0.065,1,0.851,2.736,0,1.000,OBSTACLE
48,0.046,0.000,0.093,1.369,0.102,1,0.491,1.332,0,1.000,OBSTACLE
49,0.098,0.000,0.196,1.319,0.111,1,0.917,1.442,0,1.000,OBSTACLE
50,0.082,0.000,0.165,1.173,0.142,1,0.917,1.181,0,0.990,OBSTACLE
51,0.117,0.000,0.234,0.860,0.239,1,0.722,0.913,0,1.000,OBSTACLE
52,0.106,0.000,0.213,0.938,0.209,1,0.499,0.985,0,1.000,OBSTACLE
53,0.124,0.000,0.248,0.949,0.206,0,0.000,,0,1.000,OBSTACLE
54,0.095,0.000,0.191,1.349,0.106,1,0.729,0.950,0,1.000,OBSTACLE
55,0.080,0.000,0.160,1.343,0.107,1,0.289,1.017,0,1.000,OBSTACLE
56,0.058,0.000,0.116,1.273,0.120,1,0.498,0.841,0,1.000,OBSTACLE
57,0.063,0.000,0.126,1.324,0.110,1,0.643,1.459,0,1.000,OBSTACLE
58,0.090,0.000,0.180,1.261,0.122,0,0.000,,0,0.990,OBSTACLE
59,0.009,0.000,0.018,1.438,0.091,0,0.000,,0,1.000,OBSTACLE
60,0.013,0.000,0.025,1.905,0.042,0,0.000,,0,0.000,FREE
61,0.005,0.000,0.009,0.977,0.196,1,0.496,0.936,0,1.000,OBSTACLE
62,0.027,0.000,0.054,1.027,0.181,0,0.000,,0,1.000,OBSTACLE
63,0.041,0.000,0.081,1.289,0.117,0,0.000,,0,1.000,OBSTACLE
64,0.041,0.000,0.081,1.680,0.061,1,0.472,1.742,0,1.000,OBSTACLE
65,0.113,0.000,0.226,1.798,0.050,1,0.847,1.513,0,0.970,OBSTACLE
66,0.029,0.000,0.059,2.146,0.028,0,0.000,,0,0.000,FREE
67,0.037,0.000,0.074,1.234,0.128,1,0.688,1.134,0,1.000,OBSTACLE
68,0.071,0.000,0.142,2.000,0.036,1,0.884,2.035,0,0.010,FREE
